Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2000-07-27,2000,7,27,3,3,30,0,0,July,Thursday
2000-07-28,2000,7,28,3,4,30,0,0,July,Friday
2000-07-29,2000,7,29,3,5,30,1,0,July,Saturday
2000-07-30,2000,7,30,3,6,30,1,0,July,Sunday
2000-07-31,2000,7,31,3,0,31,0,0,July,Monday
2000-08-01,2000,8,1,3,1,31,0,0,August,Tuesday
2000-08-02,2000,8,2,3,2,31,0,0,August,Wednesday
2000-08-03,2000,8,3,3,3,31,0,0,August,Thursday
2000-08-04,2000,8,4,3,4,31,0,0,August,Friday
2000-08-05,2000,8,5,3,5,31,1,0,August,Saturday
2000-08-06,2000,8,6,3,6,31,1,0,August,Sunday
2000-08-07,2000,8,7,3,0,32,0,0,August,Monday
2000-08-08,2000,8,8,3,1,32,0,0,August,Tuesday
2000-08-09,2000,8,9,3,2,32,0,0,August,Wednesday
2000-08-10,2000,8,10,3,3,32,0,0,August,Thursday
2000-08-11,2000,8,11,3,4,32,0,0,August,Friday
2000-08-12,2000,8,12,3,5,32,1,0,August,Saturday
2000-08-13,2000,8,13,3,6,32,1,0,August,Sunday
2000-08-14,2000,8,14,3,0,33,0,0,August,Monday
2000-08-15,2000,8,15,3,1,33,0,0,August,Tuesday
2000-08-16,2000,8,16,3,2,33,0,0,August,Wednesday
2000-08-17,2000,8,17,3,3,33,0,0,August,Thursday
2000-08-18,2000,8,18,3,4,33,0,0,August,Friday
2000-08-19,2000,8,19,3,5,33,1,0,August,Saturday
2000-08-20,2000,8,20,3,6,33,1,0,August,Sunday
2000-08-21,2000,8,21,3,0,34,0,0,August,Monday
2000-08-22,2000,8,22,3,1,34,0,0,August,Tuesday
2000-08-23,2000,8,23,3,2,34,0,0,August,Wednesday
2000-08-24,2000,8,24,3,3,34,0,0,August,Thursday
2000-08-25,2000,8,25,3,4,34,0,0,August,Friday
2000-08-26,2000,8,26,3,5,34,1,0,August,Saturday
2000-08-27,2000,8,27,3,6,34,1,0,August,Sunday
2000-08-28,2000,8,28,3,0,35,0,0,August,Monday
2000-08-29,2000,8,29,3,1,35,0,0,August,Tuesday
2000-08-30,2000,8,30,3,2,35,0,0,August,Wednesday
2000-08-31,2000,8,31,3,3,35,0,0,August,Thursday
2000-09-01,2000,9,1,3,4,35,0,0,September,Friday
2000-09-02,2000,9,2,3,5,35,1,0,September,Saturday
2000-09-03,2000,9,3,3,6,35,1,0,September,Sunday
2000-09-04,2000,9,4,3,0,36,0,0,September,Monday
2000-09-05,2000,9,5,3,1,36,0,0,September,Tuesday
2000-09-06,2000,9,6,3,2,36,0,0,September,Wednesday
2000-09-07,2000,9,7,3,3,36,0,0,September,Thursday
2000-09-08,2000,9,8,3,4,36,0,0,September,Friday
2000-09-09,2000,9,9,3,5,36,1,0,September,Saturday
2000-09-10,2000,9,10,3,6,36,1,0,September,Sunday
2000-09-11,2000,9,11,3,0,37,0,0,September,Monday
2000-09-12,2000,9,12,3,1,37,0,0,September,Tuesday
2000-09-13,2000,9,13,3,2,37,0,0,September,Wednesday
2000-09-14,2000,9,14,3,3,37,0,0,September,Thursday
2000-09-15,2000,9,15,3,4,37,0,0,September,Friday
2000-09-16,2000,9,16,3,5,37,1,0,September,Saturday
2000-09-17,2000,9,17,3,6,37,1,0,September,Sunday
2000-09-18,2000,9,18,3,0,38,0,0,September,Monday
2000-09-19,2000,9,19,3,1,38,0,0,September,Tuesday
2000-09-20,2000,9,20,3,2,38,0,0,September,Wednesday
2000-09-21,2000,9,21,3,3,38,0,0,September,Thursday
2000-09-22,2000,9,22,3,4,38,0,0,September,Friday
2000-09-23,2000,9,23,3,5,38,1,0,September,Saturday
2000-09-24,2000,9,24,3,6,38,1,0,September,Sunday
2000-09-25,2000,9,25,3,0,39,0,0,September,Monday
2000-09-26,2000,9,26,3,1,39,0,0,September,Tuesday
2000-09-27,2000,9,27,3,2,39,0,0,September,Wednesday
2000-09-28,2000,9,28,3,3,39,0,0,September,Thursday
2000-09-29,2000,9,29,3,4,39,0,0,September,Friday
2000-09-30,2000,9,30,3,5,39,1,0,September,Saturday
2000-10-01,2000,10,1,4,6,39,1,0,October,Sunday
2000-10-02,2000,10,2,4,0,40,0,0,October,Monday
2000-10-03,2000,10,3,4,1,40,0,0,October,Tuesday
2000-10-04,2000,10,4,4,2,40,0,0,October,Wednesday
2000-10-05,2000,10,5,4,3,40,0,0,October,Thursday
2000-10-06,2000,10,6,4,4,40,0,0,October,Friday
2000-10-07,2000,10,7,4,5,40,1,0,October,Saturday
2000-10-08,2000,10,8,4,6,40,1,0,October,Sunday
2000-10-09,2000,10,9,4,0,41,0,0,October,Monday
2000-10-10,2000,10,10,4,1,41,0,0,October,Tuesday
2000-10-11,2000,10,11,4,2,41,0,0,October,Wednesday
2000-10-12,2000,10,12,4,3,41,0,0,October,Thursday
2000-10-13,2000,10,13,4,4,41,0,0,October,Friday
2000-10-14,2000,10,14,4,5,41,1,0,October,Saturday
2000-10-15,2000,10,15,4,6,41,1,0,October,Sunday
2000-10-16,2000,10,16,4,0,42,0,0,October,Monday
2000-10-17,2000,10,17,4,1,42,0,0,October,Tuesday
2000-10-18,2000,10,18,4,2,42,0,0,October,Wednesday
2000-10-19,2000,10,19,4,3,42,0,0,October,Thursday
2000-10-20,2000,10,20,4,4,42,0,0,October,Friday
2000-10-21,2000,10,21,4,5,42,1,0,October,Saturday
2000-10-22,2000,10,22,4,6,42,1,0,October,Sunday
2000-10-23,2000,10,23,4,0,43,0,0,October,Monday
2000-10-24,2000,10,24,4,1,43,0,0,October,Tuesday
2000-10-25,2000,10,25,4,2,43,0,0,October,Wednesday
2000-10-26,2000,10,26,4,3,43,0,0,October,Thursday
2000-10-27,2000,10,27,4,4,43,0,0,October,Friday
2000-10-28,2000,10,28,4,5,43,1,0,October,Saturday
2000-10-29,2000,10,29,4,6,43,1,0,October,Sunday
2000-10-30,2000,10,30,4,0,44,0,0,October,Monday
2000-10-31,2000,10,31,4,1,44,0,0,October,Tuesday
2000-11-01,2000,11,1,4,2,44,0,0,November,Wednesday
2000-11-02,2000,11,2,4,3,44,0,0,November,Thursday
2000-11-03,2000,11,3,4,4,44,0,0,November,Friday
2000-11-04,2000,11,4,4,5,44,1,0,November,Saturday
2000-11-05,2000,11,5,4,6,44,1,0,November,Sunday
2000-11-06,2000,11,6,4,0,45,0,0,November,Monday
2000-11-07,2000,11,7,4,1,45,0,0,November,Tuesday
2000-11-08,2000,11,8,4,2,45,0,0,November,Wednesday
2000-11-09,2000,11,9,4,3,45,0,0,November,Thursday
2000-11-10,2000,11,10,4,4,45,0,0,November,Friday
2000-11-11,2000,11,11,4,5,45,1,0,November,Saturday
2000-11-12,2000,11,12,4,6,45,1,0,November,Sunday
2000-11-13,2000,11,13,4,0,46,0,0,November,Monday
2000-11-14,2000,11,14,4,1,46,0,0,November,Tuesday
2000-11-15,2000,11,15,4,2,46,0,0,November,Wednesday
2000-11-16,2000,11,16,4,3,46,0,0,November,Thursday
2000-11-17,2000,11,17,4,4,46,0,0,November,Friday
2000-11-18,2000,11,18,4,5,46,1,0,November,Saturday
2000-11-19,2000,11,19,4,6,46,1,0,November,Sunday
2000-11-20,2000,11,20,4,0,47,0,0,November,Monday
2000-11-21,2000,11,21,4,1,47,0,0,November,Tuesday
2000-11-22,2000,11,22,4,2,47,0,0,November,Wednesday
2000-11-23,2000,11,23,4,3,47,0,0,November,Thursday
2000-11-24,2000,11,24,4,4,47,0,0,November,Friday
2000-11-25,2000,11,25,4,5,47,1,0,November,Saturday
2000-11-26,2000,11,26,4,6,47,1,0,November,Sunday
2000-11-27,2000,11,27,4,0,48,0,0,November,Monday
2000-11-28,2000,11,28,4,1,48,0,0,November,Tuesday
2000-11-29,2000,11,29,4,2,48,0,0,November,Wednesday
2000-11-30,2000,11,30,4,3,48,0,0,November,Thursday
2000-12-01,2000,12,1,4,4,48,0,0,December,Friday
2000-12-02,2000,12,2,4,5,48,1,0,December,Saturday
2000-12-03,2000,12,3,4,6,48,1,0,December,Sunday
2000-12-04,2000,12,4,4,0,49,0,0,December,Monday
2000-12-05,2000,12,5,4,1,49,0,0,December,Tuesday
2000-12-06,2000,12,6,4,2,49,0,0,December,Wednesday
2000-12-07,2000,12,7,4,3,49,0,0,December,Thursday
2000-12-08,2000,12,8,4,4,49,0,0,December,Friday
2000-12-09,2000,12,9,4,5,49,1,0,December,Saturday
2000-12-10,2000,12,10,4,6,49,1,0,December,Sunday
2000-12-11,2000,12,11,4,0,50,0,0,December,Monday
2000-12-12,2000,12,12,4,1,50,0,0,December,Tuesday
2000-12-13,2000,12,13,4,2,50,0,0,December,Wednesday
2000-12-14,2000,12,14,4,3,50,0,0,December,Thursday
2000-12-15,2000,12,15,4,4,50,0,0,December,Friday
2000-12-16,2000,12,16,4,5,50,1,0,December,Saturday
2000-12-17,2000,12,17,4,6,50,1,0,December,Sunday
2000-12-18,2000,12,18,4,0,51,0,0,December,Monday
2000-12-19,2000,12,19,4,1,51,0,0,December,Tuesday
2000-12-20,2000,12,20,4,2,51,0,0,December,Wednesday
2000-12-21,2000,12,21,4,3,51,0,0,December,Thursday
2000-12-22,2000,12,22,4,4,51,0,0,December,Friday
2000-12-23,2000,12,23,4,5,51,1,0,December,Saturday
2000-12-24,2000,12,24,4,6,51,1,0,December,Sunday
2000-12-25,2000,12,25,4,0,52,0,0,December,Monday
2000-12-26,2000,12,26,4,1,52,0,0,December,Tuesday
2000-12-27,2000,12,27,4,2,52,0,0,December,Wednesday
2000-12-28,2000,12,28,4,3,52,0,0,December,Thursday
2000-12-29,2000,12,29,4,4,52,0,0,December,Friday
2000-12-30,2000,12,30,4,5,52,1,0,December,Saturday
2000-12-31,2000,12,31,4,6,52,1,0,December,Sunday
2001-01-01,2001,1,1,1,0,1,0,0,January,Monday
2001-01-02,2001,1,2,1,1,1,0,0,January,Tuesday
2001-01-03,2001,1,3,1,2,1,0,0,January,Wednesday
2001-01-04,2001,1,4,1,3,1,0,0,January,Thursday
2001-01-05,2001,1,5,1,4,1,0,0,January,Friday
2001-01-06,2001,1,6,1,5,1,1,0,January,Saturday
2001-01-07,2001,1,7,1,6,1,1,0,January,Sunday
2001-01-08,2001,1,8,1,0,2,0,0,January,Monday
2001-01-09,2001,1,9,1,1,2,0,0,January,Tuesday
