Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2021-02-19,2021,2,19,1,4,7,0,0,February,Friday
2021-02-20,2021,2,20,1,5,7,1,0,February,Saturday
2021-02-21,2021,2,21,1,6,7,1,0,February,Sunday
2021-02-22,2021,2,22,1,0,8,0,0,February,Monday
2021-02-23,2021,2,23,1,1,8,0,0,February,Tuesday
2021-02-24,2021,2,24,1,2,8,0,0,February,Wednesday
2021-02-25,2021,2,25,1,3,8,0,0,February,Thursday
2021-02-26,2021,2,26,1,4,8,0,0,February,Friday
2021-02-27,2021,2,27,1,5,8,1,0,February,Saturday
2021-02-28,2021,2,28,1,6,8,1,0,February,Sunday
2021-03-01,2021,3,1,1,0,9,0,0,March,Monday
2021-03-02,2021,3,2,1,1,9,0,0,March,Tuesday
2021-03-03,2021,3,3,1,2,9,0,0,March,Wednesday
2021-03-04,2021,3,4,1,3,9,0,0,March,Thursday
2021-03-05,2021,3,5,1,4,9,0,0,March,Friday
2021-03-06,2021,3,6,1,5,9,1,0,March,Saturday
2021-03-07,2021,3,7,1,6,9,1,0,March,Sunday
2021-03-08,2021,3,8,1,0,10,0,0,March,Monday
2021-03-09,2021,3,9,1,1,10,0,0,March,Tuesday
2021-03-10,2021,3,10,1,2,10,0,0,March,Wednesday
2021-03-11,2021,3,11,1,3,10,0,0,March,Thursday
2021-03-12,2021,3,12,1,4,10,0,0,March,Friday
2021-03-13,2021,3,13,1,5,10,1,0,March,Saturday
2021-03-14,2021,3,14,1,6,10,1,0,March,Sunday
2021-03-15,2021,3,15,1,0,11,0,0,March,Monday
2021-03-16,2021,3,16,1,1,11,0,0,March,Tuesday
2021-03-17,2021,3,17,1,2,11,0,0,March,Wednesday
2021-03-18,2021,3,18,1,3,11,0,0,March,Thursday
